nohup: les entrées sont ignorées

=== Batch indexation: 24611 tiles to process (24611 total pending) ===
    mode: EXECUTE

  [60/24611] tile (-72,82): 0 sites (0 new) — 25s elapsed, 2.4 tiles/s, ETA ~?s
  [61/24611] tile (-71,82): 0 sites (0 new) — 26s elapsed, 2.3 tiles/s, ETA ~?s
  [62/24611] tile (-70,82): 0 sites (0 new) — 26s elapsed, 2.4 tiles/s, ETA ~?s
  [63/24611] tile (-69,82): 0 sites (0 new) — 27s elapsed, 2.3 tiles/s, ETA ~?s
  [64/24611] tile (-68,82): 0 sites (0 new) — 28s elapsed, 2.3 tiles/s, ETA ~?s
  [65/24611] tile (-67,82): 0 sites (0 new) — 28s elapsed, 2.3 tiles/s, ETA ~?s
  [66/24611] tile (-66,82): 0 sites (0 new) — 29s elapsed, 2.3 tiles/s, ETA ~?s
  [67/24611] tile (-65,82): 0 sites (0 new) — 29s elapsed, 2.3 tiles/s, ETA ~?s
  [68/24611] tile (-64,82): 0 sites (0 new) — 30s elapsed, 2.2 tiles/s, ETA ~?s
  [69/24611] tile (-63,82): 1 sites (1 new) — 31s elapsed, 2.2 tiles/s, ETA ~?s
  [70/24611] tile (-62,82): 0 sites (0 new) — 32s elapsed, 2.2 tiles/s, ETA ~?s
  [71/24611] tile (-61,82): 0 sites (0 new) — 32s elapsed, 2.2 tiles/s, ETA ~?s
  [72/24611] tile (-60,82): 0 sites (0 new) — 32s elapsed, 2.2 tiles/s, ETA ~?s
  [73/24611] tile (-59,82): 0 sites (0 new) — 33s elapsed, 2.2 tiles/s, ETA ~?s
  [74/24611] tile (-58,82): 0 sites (0 new) — 33s elapsed, 2.2 tiles/s, ETA ~?s
  [75/24611] tile (-57,82): 0 sites (0 new) — 33s elapsed, 2.2 tiles/s, ETA ~?s
  [76/24611] tile (-56,82): 0 sites (0 new) — 34s elapsed, 2.3 tiles/s, ETA ~?s
  [77/24611] tile (-55,82): 0 sites (0 new) — 34s elapsed, 2.3 tiles/s, ETA ~?s
  [78/24611] tile (-54,82): 0 sites (0 new) — 35s elapsed, 2.2 tiles/s, ETA ~?s
  [79/24611] tile (-53,82): 0 sites (0 new) — 36s elapsed, 2.2 tiles/s, ETA ~?s
  [80/24611] tile (-52,82): 0 sites (0 new) — 36s elapsed, 2.2 tiles/s, ETA ~?s
  [81/24611] tile (-51,82): 0 sites (0 new) — 37s elapsed, 2.2 tiles/s, ETA ~?s
  [82/24611] tile (-50,82): 0 sites (0 new) — 38s elapsed, 2.2 tiles/s, ETA ~?s
  [83/24611] tile (-49,82): 0 sites (0 new) — 38s elapsed, 2.2 tiles/s, ETA ~?s
  [84/24611] tile (-48,82): 1 sites (1 new) — 39s elapsed, 2.2 tiles/s, ETA ~?s
  [85/24611] tile (-47,82): 0 sites (0 new) — 39s elapsed, 2.2 tiles/s, ETA ~?s
